0 1 {'weight':10, 'color':'green'}
0 2 {'weight':10, 'color':'green'}
0 3 {'weight':10, 'color':'green'}
1 2 {'weight':8, 'color':'green'}
1 3 {'weight':8, 'color':'green'}
2 3 {'weight':4, 'color':'green'}
2 5 {'weight':4, 'color':'green'}
2 8 {'weight':15, 'color':'green'}
2 10 {'weight':10, 'color':'green'}
3 4 {'weight':15, 'color':'green'}
3 5 {'weight':1, 'color':'green'}
3 6 {'weight':13, 'color':'green'}
3 17 {'weight':7, 'color':'green'}
4 7 {'weight':9, 'color':'green'}
4 8 {'weight':9, 'color':'green'}
4 9 {'weight':12, 'color':'green'}
4 10 {'weight':10, 'color':'green'}
4 11 {'weight':7, 'color':'green'}
4 12 {'weight':4, 'color':'green'}
5 1 {'weight':12, 'color':'green'}
5 9 {'weight':8, 'color':'green'}
5 11 {'weight':10, 'color':'green'}
5 13 {'weight':9, 'color':'green'}
6 7 {'weight':7, 'color':'green'}
6 8 {'weight':7, 'color':'green'}
6 11 {'weight':7, 'color':'green'}
6 15 {'weight':6, 'color':'green'}
7 9 {'weight':11, 'color':'green'}
7 10 {'weight':11, 'color':'green'}
7 11 {'weight':11, 'color':'green'}
7 12 {'weight':14, 'color':'green'}
7 13 {'weight':5, 'color':'green'}
7 16 {'weight':15, 'color':'green'}
8 9 {'weight':12, 'color':'green'}
8 10 {'weight':3, 'color':'green'}
8 13 {'weight':15, 'color':'green'}
9 10 {'weight':16, 'color':'green'}
9 12 {'weight':12, 'color':'green'}
9 13 {'weight':17, 'color':'green'}
9 14 {'weight':4, 'color':'green'}
9 15 {'weight':1, 'color':'green'}
9 16 {'weight':3, 'color':'green'}
10 11 {'weight':3, 'color':'green'}
10 15 {'weight':8, 'color':'green'}
11 14 {'weight':4, 'color':'green'}
12 15 {'weight':8, 'color':'green'}
13 14 {'weight':8, 'color':'green'}
14 15 {'weight':12, 'color':'green'}
14 16 {'weight':4, 'color':'green'}
14 15 {'weight':4, 'color':'green'}
14 20 {'weight':9, 'color':'green'}
15 20 {'weight':6, 'color':'green'}
16 17 {'weight':11, 'color':'green'}
16 18 {'weight':11, 'color':'green'}
17 18 {'weight':11, 'color':'green'}
17 19 {'weight':9, 'color':'green'}
18 19 {'weight':3, 'color':'green'}
18 20 {'weight':10, 'color':'green'}
19 20 {'weight':5, 'color':'green'}
